neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
Brooklyn Heights,Kings,75,7.64,195.86666666666667,11.575757575757576,81.60876369327073,89.7119341563786,55.2,Brooklyn,Brooklyn Heights,Brooklyn
Pelham Gardens,Bronx,6,0.5,136.66666666666666,0.7575757575757576,87.16744913928012,99.1769547325103,55.0,Bronx,Pelham Gardens,Bronx
Westchester Square,Bronx,10,0.9,144.1,1.3636363636363638,86.4694835680751,98.62825788751715,54.9,Bronx,Westchester Square,Bronx
Pelham Parkway-Van Nest,Bronx,17,1.0588235294117647,142.23529411764707,1.6042780748663104,86.64457332228666,97.66803840877914,54.8,Bronx,Pelham Parkway-Van Nest,Bronx
Jamaica Hills-Briarwood,Queens,11,6.454545454545454,238.9090909090909,9.77961432506887,77.56722151088348,98.49108367626886,54.6,Queens,Jamaica Hills-Briarwood,Queens
East New York-New Lots,Kings,16,0.5,139.6875,0.7575757575757576,86.88380281690141,97.80521262002743,54.6,Brooklyn,East New York-New Lots,Brooklyn
East Flatbush-Rugby,Kings,7,0.0,143.14285714285714,0.0,86.55935613682092,99.039780521262,54.4,Brooklyn,East Flatbush-Rugby,Brooklyn
Bushwick (East),Kings,13,3.3846153846153846,196.23076923076923,5.128205128205128,81.57457565908271,98.21673525377228,54.3,Brooklyn,Bushwick (East),Brooklyn
Eastchester-Edenwald-Baychester,Bronx,6,0.5,155.83333333333334,0.7575757575757576,85.36776212832551,99.1769547325103,54.3,Bronx,Eastchester-Edenwald-Baychester,Bronx
Cypress Hills,Kings,23,3.217391304347826,189.2173913043478,4.874835309617918,82.23310879771381,96.84499314128944,54.2,Brooklyn,Cypress Hills,Brooklyn
East Elmhurst,Queens,13,0.0,145.15384615384616,0.0,86.37053087757313,98.21673525377228,54.2,Queens,East Elmhurst,Queens
Wakefield-Woodlawn,Bronx,9,2.888888888888889,197.0,4.377104377104377,81.50234741784037,98.76543209876543,54.1,Bronx,Wakefield-Woodlawn,Bronx
Crown Heights (South),Kings,8,4.0,219.0,6.0606060606060606,79.43661971830987,98.90260631001372,54.0,Brooklyn,Crown Heights (South),Brooklyn
Concourse-Concourse Village,Bronx,90,14.466666666666667,326.18888888888887,21.91919191919192,69.37193531559728,87.65432098765432,54.0,Bronx,Concourse-Concourse Village,Bronx
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Kings,176,3.9318181818181817,98.74431818181819,5.957300275482093,90.72823303457106,75.85733882030179,53.8,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn
Prospect Lefferts Gardens-Wingate,Kings,23,2.217391304347826,186.43478260869566,3.3596837944664033,82.49438660951213,96.84499314128944,53.7,Brooklyn,Prospect Lefferts Gardens-Wingate,Brooklyn
Kingsbridge Heights-Van Cortlandt Village,Bronx,18,4.333333333333333,223.61111111111111,6.565656565656565,79.00365153886281,97.53086419753086,53.7,Bronx,Kingsbridge Heights-Van Cortlandt Village,Bronx
