licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0417-24-126443-02,New York,Additional Bar,Culinary Pursuits LLC,Water Street Cafe; Associate Services,161 Water St,New York,New York,10038,08/29/2024,07/31/2026,POINT (-74.00586 40.70625)
0423-23-138224,New York,Additional Bar,"NEW YORK ATHLETIC CLUB,THE",,180 CENTRAL PARK SOUTH,NEW YORK,New York,10019,02/19/2025,02/28/2027,POINT (-73.97871 40.76676)
0423-23-136855,New York,Additional Bar,FACILITY CONCESSION SERVICES LLC,SPECTRUM CATERING AND CONCESSIONS,119 125 E 11TH ST,NEW YORK,New York,10003,03/10/2025,03/31/2027,POINT (-73.98897 40.73147)
0423-23-135603,Queens,Additional Bar,"Aramark Sports and Entertainment Services, LLC",FIELD LEVEL WORLDS FAIR MARKET - FULL LIQUOR,126TH STREET AND ROOSEVELT AVE,FLUSHING,New York,11368,02/18/2025,02/28/2027,POINT (-73.84322 40.75535)
0423-22-112942,New York,Additional Bar,Inwood Hospitality Partners LLC & Hudson Rest Mgt LLC as Manager,,348 DYCKMAN ST,NEW YORK,New York,10034,05/20/2024,05/31/2026,POINT (-73.93162 40.86912)
0423-23-129711,New York,Additional Bar,LAM GEN 25 LLC & 25TH STREET ROOFTOP LLC,37TH FLOOR - BEER WINE CIDER LIQUOR,112 W 25TH ST,NEW YORK,New York,10001,11/13/2025,12/31/2027,POINT (-73.9926 40.74449)
0423-23-132143,Bronx,Additional Bar,"LEGENDS HOSPITALITY, LLC & NEW YORK YANKEES PARTNERSHIP",SUITE CLUB 000 LEVEL PUBLIC,ONE EAST 161ST STREET,BRONX,New York,10451,02/24/2025,02/28/2027,POINT (-73.9276 40.82863)
0423-23-133946,Queens,Additional Bar,"Aramark Sports and Entertainment Services, LLC",ALONG 3RD BASE LINE - FIELD,126TH STREET AND ROOSEVELT AVE,FLUSHING,New York,11368,03/04/2025,02/28/2027,POINT (-73.84322 40.75535)
0423-22-110935,New York,Additional Bar,BIG BOWL LLC,,625 8TH AVE 2ND FLOOR,NEW YORK,New York,10018,03/19/2026,03/31/2028,POINT (-73.99036 40.75646)
0423-22-115597,Kings,Additional Bar,EL AMBIENTE RESTAURANT PATIO AND LOUNGE LLC,,2896 FULTON ST,BROOKLYN,New York,11207,06/13/2024,05/31/2026,POINT (-73.88778 40.67897)
0423-22-113496,New York,Additional Bar,LODGING CONCESSIONS LLC & BOQUERIA WESTSIDE LLC,ADD BAR - LOBBY MARKET PLACE,260 W 40TH ST,NEW YORK,New York,10018,04/25/2024,04/30/2026,POINT (-73.99005 40.75567)
0423-23-133399,Queens,Additional Bar,"LAGUARDIA USA, LLC",ROSSI PIZZERIA AND FLATIRON TAVERN,LAGUARDIA AIRPORT CONCOURSE G,FLUSHING,New York,11371,10/30/2025,10/31/2027,
0423-23-134107,New York,Additional Bar,PIER 66 MARITIME INC,LAKAWANNA BARGE,205 207 12TH AVE,NEW YORK,New York,10001,05/23/2025,06/30/2027,POINT (-74.00772 40.752)
0417-22-101421,New York,Cabaret,CIPRIANI 637 LLC,MUSICA,637 W 50TH ST,NEW YORK,New York,10019,12/15/2025,12/31/2027,POINT (-73.99629 40.76657)
0423-23-130066,New York,Additional Bar,K OF NEW YORK LLC,EAST LOBBY BAR - BEER WINE CIDER LIQUOR,151 W 42ND ST AKA 4 TIMES SQ,NEW YORK,New York,10036,06/13/2025,06/30/2027,POINT (-73.9846 40.7592)
0423-21-119640,Kings,Additional Bar,Pod BK F&B LLC & L Williamsburg LLC,AS MANAGER; ROOFTOP BAR - BEER WINE CIDER LIQUOR,247 METROPOLITAN AVE,BROOKLYN,New York,11211,12/09/2025,12/31/2027,POINT (-73.95909 40.71489)
0423-22-104963,Kings,Additional Bar,BUSHWICK BEER GARDEN LLC,(BASEMENT ADD BAR),2 KNICKERBOCKER AVE,BROOKLYN,New York,11237,10/08/2024,10/31/2026,POINT (-73.9318 40.7075)
0423-22-103654,New York,Additional Bar,POD 39 F&B LLC & SADA 39 POD LLC,THE POD HOTEL/ SALVATION TACO,145 EAST 39TH ST,NEW YORK,New York,10016,07/16/2024,07/31/2026,POINT (-73.9767 40.74923)
0423-23-136330,Queens,Additional Bar,GENTING NEW YORK LLC,3RD FL EVENT SPACE - BEER WINE CIDER LIQUOR,11000 ROCKAWAY BLVD,JAMAICA,New York,11420,09/26/2025,09/30/2027,POINT (-73.83176 40.67298)
0423-22-109712,Queens,Additional Bar,LEVY PREMIUM FOODSERVICE LP,FULL LIQUOR,USTA NATIONAL TENNIS CENTER,FLUSHING,New York,11368,07/31/2024,07/31/2026,
0423-23-134328,New York,Additional Bar,"EXPLORERS CLUB, THE",THE EXPLORERS CLUB,46 E 70TH ST,NEW YORK,New York,10021,08/20/2025,08/31/2027,POINT (-73.96548 40.77009)
0417-25-109447-01,New York,Additional Bar,RG Events LLC,Add Bar (Center),1515 Broadway North Side,New York,New York,10036,05/07/2025,04/30/2027,POINT (-73.98573 40.75762)
0423-23-131150,New York,Additional Bar,"NEW YORK ATHLETIC CLUB,THE",ADDL BAR DINING ROOM,180 CENTRAL PARK SOUTH,NEW YORK,New York,10019,02/19/2025,02/28/2027,POINT (-73.97871 40.76676)
0423-23-131112,New York,Additional Bar,YARD HOUSE USA INC,,575 7TH AVE,NEW YORK,New York,10018,07/11/2025,07/31/2027,POINT (-73.9876 40.75508)
0423-21-118487,New York,Additional Bar,CIRCLE LINE SIGHTSEEING YACHTS INC & LEGENDS,HOSPITALITY LLC DBA: CIRCLE LINE LIBERTY,PIER 83 WEST 42ND ST,NEW YORK,New York,10036,12/17/2025,12/31/2027,
0423-22-105384,New York,Additional Bar,EATALY NY FIDI LLC,,4 WORLD TRADE CENTER,NEW YORK,New York,10006,06/10/2024,06/30/2026,POINT (-74.01221 40.70993)
0423-23-137816,Bronx,Additional Bar,"LEGENDS HOSPITALITY, LLC & NEW YORK YANKEES PARTNERSHIP",SUITE CLUB 000 LEVEL PUBLIC,ONE EAST 161ST STREET,BRONX,New York,10451,02/24/2025,02/28/2027,POINT (-73.9276 40.82863)
0423-23-128241,Kings,Additional Bar,BROOKLYN FOOD&ARTS LLC&GREAT PERFORMANCES/ARTISTS,AS WAITRESS INC & BROOKLYN MUSEUM/ SCULPTURE GRDN,200 EASTERN PKW,BROOKLYN,New York,11238,10/09/2025,10/31/2027,POINT (-73.96347 40.67183)
0423-23-138369,New York,Additional Bar,RSVP 38TH STREET VENTURE LP &,ROOFTOP 63 LLC /REFINERY LOBBY BAR AS CO LICENSEES,63 W 38TH ST,NEW YORK,New York,10018,05/23/2025,06/30/2027,POINT (-73.98542 40.7521)
0423-23-135411,New York,Additional Bar,ARK BRYANT PARK SOUTHWEST LLC,THE PORCH AT BRYANT PARK,41 WEST 40TH ST,NEW YORK,New York,10003,05/24/2025,06/30/2027,POINT (-73.9824 40.75244)
0423-22-111368,New York,Additional Bar,"MSG ARENA, LLC",BEER WINE CIDER LIQUOR,4 PENNSYLVANIA PLAZA,NEW YORK,New York,10121,01/06/2026,01/31/2028,POINT (-73.99224 40.75058)
0423-23-130139,Queens,Additional Bar,"Aramark Sports and Entertainment Services, LLC",CITIFIELD,126TH STREET AND ROOSEVELT AVE,FLUSHING,New York,11368,02/18/2025,02/28/2027,POINT (-73.84322 40.75535)
0423-23-131291,New York,Additional Bar,233 PAS RESTAURANT INC,,233 PARK AVE S,NEW YORK,New York,10003,09/05/2025,09/30/2027,POINT (-73.98821 40.73754)
0423-22-107335,New York,Additional Bar,BIG BOWL LLC,(REAR LOUNGE AREA),625 8TH AVE,NEW YORK,New York,10018,03/19/2026,03/31/2028,POINT (-73.99036 40.75646)
0423-22-114938,New York,Additional Bar,GRAND SLAM SPORTS CLUB INC,,3534 3540 BROADWAY,NEW YORK,New York,10031,12/17/2024,12/31/2026,POINT (-73.95047 40.82626)
0370-25-112834-01,Kings,Additional Bar,JUST MORE FUN LLC,,1150 Manhattan Ave,Brooklyn,New York,11222,06/06/2025,05/31/2027,POINT (-73.95546 40.73761)
0423-23-135291,Queens,Additional Bar,"SSP AMERICA JFK, LLC",,JFK INTL ARPT TERM 4 CB20,JAMAICA,New York,11432,05/16/2025,04/30/2027,
0423-22-114243,New York,Additional Bar,VIRGIN HOTELS NEW YORK LLC & LG BROADWAY MGMT INC,VIRGIN HOTELS NEW YORK;EVERDENE;FUNNY LIBR,1205 1227 BROADWAY,NEW YORK,New York,10001,10/11/2024,10/31/2026,POINT (-73.98846 40.74672)
